"","RealTitle","SearchTitle","imdbLink","YoutubeLink","RTscore","Paff","yr","le","ca","ra","de","pi","aw","po"
"1","10 bonnes raisons de te larguer","10 Things I Hate About You","http://www.imdb.com/title/tt0147800/",NA,NA,"10 bonnes raisons de te larguer",1999,"
                        1h 37min
                    ","Comedy",7.2,"
                    A new kid must find a guy to date the meanest girl in school, the older sister of the girl he has a crush on, who cannot date until her older sister does.
            ",NA,"
      2 wins & 12 nominations.
    ",218425
"2","21 grams","21 Grams","http://www.imdb.com/title/tt0315733/","http://www.youtube.com/watch?v=FZXR9ZrRR2c","21 Grams (2003) - Rotten Tomatoes 80%","21 grams",2003,"
                        2h 4min
                    ","Drama",7.7,"
                    A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.
            ","http://ia.media-imdb.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        2
        Oscars.
      
    ",187755
"3","25th hour","25th Hour","http://www.imdb.com/title/tt0307901/","http://www.youtube.com/watch?v=2qZVGJd6-rI","25th Hour 67%","25th hour",2002,"
                        2h 15min
                    ","Drama",7.7,"
                    Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.
            ","http://ia.media-imdb.com/images/M/MV5BMTUxNDEyNjE4OF5BMl5BanBnXkFtZTYwNTMyNjU3._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        1
        Golden Globe.
      
    ",148420
"4","28 days later","28 Days Later...","http://www.imdb.com/title/tt0289043/",NA,"28 Days Later (2003) - Rotten Tomatoes 87%","28 days later",2002,"
                        1h 53min
                    ","Drama",7.6,"
                    Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.
            ","http://ia.media-imdb.com/images/M/MV5BMTk3NjEwNDMzMF5BMl5BanBnXkFtZTgwMzgwNDgwNzE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      9 wins & 27 nominations.
    ",292841
"5","30 days of night","30 Days of Night","http://www.imdb.com/title/tt0389722/",NA,NA,"30 days of night",2007,"
                        1h 53min
                    ","Horror",6.6,"
                    After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.
            ","http://ia.media-imdb.com/images/M/MV5BMjE2MDE5ODIxMF5BMl5BanBnXkFtZTcwMjMyMTU1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      12 nominations.
    ",136615
"6","300","300","http://www.imdb.com/title/tt0416449/",NA,NA,"300",2006,"
                        1h 57min
                    ","Action",7.7,"
                    King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
            ","http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_UX182_CR0,0,182,268_AL_.jpg","
      16 wins & 42 nominations.
    ",600164
"7","40 year old virgin","The 40-Year-Old Virgin","http://www.imdb.com/title/tt0405422/",NA,"The 40 Year Old Virgin (2005) - Rotten Tomatoes 85%","40 year old virgin",2005,"
                        1h 56min
                    ","Comedy",7.2,"
                    Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.
            ","http://ia.media-imdb.com/images/M/MV5BMTU5MzU2MzY2Nl5BMl5BanBnXkFtZTgwOTM4NzMxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      10 wins & 18 nominations.
    ",309772
"8","42","42","http://www.imdb.com/title/tt0453562/",NA,NA,"42",2013,"
                        2h 8min
                    ","Biography",7.5,"
                    The story of Jackie Robinson from his signing with the Brooklyn Dodgers organization in 1945 to his historic 1947 rookie season when he broke the color barrier in Major League Baseball.
            ","http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      3 wins & 17 nominations.
    ",65708
"9","50 50","50/50","http://www.imdb.com/title/tt1306980/",NA,"50/50 (2011) - Rotten Tomatoes 94%","50 50",2011,"
                        1h 40min
                    ","Comedy",7.7,"
                    Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.
            ","http://ia.media-imdb.com/images/M/MV5BNjg3ODQyNTIyN15BMl5BanBnXkFtZTcwMjUzNzM5NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        2
        Golden Globes.
      
    ",267332
"10","500daysofsummer","(500) Days of Summer","http://www.imdb.com/title/tt1022603/",NA,"500) Days of Summer 76%","500daysofsummer",2009,"
                        1h 35min
                    ","Comedy",7.8,"
                    An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.
            ","http://ia.media-imdb.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        2
        Golden Globes.
      
    ",370932
